性別,年齡,職業,個性,外在形象,興趣,購買偏好,情感效果,價值,希望收到的禮物
女,19-30歲,學生,內向,優雅知性,閱讀,動漫周邊,實用性高,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,休閒,閱讀,3C配件,實用性高,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,理性,乾淨簡約,影音（電影、電視劇）,書籍,實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,乾淨簡約,動漫,衣物,展現貼心與細膩,501-1000元,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,學生,幽默,日系,閱讀,文具,實用性高,501-1000元,文具/文創商品/藝文活動票卷/書籍
男,31-40歲,科技與工程,務實,休閒,電子遊戲,電玩/遊戲,實用性高,1001-2000元,電玩/遊戲/玩具/明星周邊/動漫周邊
男,19-30歲,學生,內向,乾淨簡約,電子遊戲,鞋子,展現貼心與細膩,501-1000元,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,內向,休閒,電子遊戲,美食,實用性高,301-500元,電玩/遊戲/玩具/明星周邊/動漫周邊
男,19-30歲,學生,內向,復古風,電子遊戲,運動器材,展現貼心與細膩,10000元以上,電玩/遊戲/玩具/明星周邊/動漫周邊
男,19-30歲,學生,內向,運動風,運動/健身,運動器材,實用性高,10000元以上,電玩/遊戲/玩具/明星周邊/動漫周邊
女,19-30歲,學生,理性,休閒,旅行,衣物,驚喜,10000元以上,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,活潑,休閒,動漫,藝文活動票卷(電影/展覽/音樂會/演唱會等),實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,外向,知性文青,手工/DIY,衣物,驚喜,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,知性文青,影音（電影、電視劇）,書籍,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,乾淨簡約,旅行,書籍,展現貼心與細膩,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,外向,運動風,運動/健身,飾品配件,實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,乾淨簡約,閱讀,飾品配件,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,乾淨簡約,動漫,衣物,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,18歲以下,學生,內向,休閒,追星,衣物,展現貼心與細膩,100元以下,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,學生,內向,休閒,閱讀,美食,驚喜,301-500元,文具/文創商品/藝文活動票卷/書籍
男,19-30歲,學生,外向,知性文青,音樂,家居用品,驚喜,100-300元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,內向,休閒,閱讀,家居用品,實用性高,501-1000元,文具/文創商品/藝文活動票卷/書籍
其他,19-30歲,學生,樂觀,活潑可愛,旅行,美妝保養,實用性高,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,18歲以下,學生,感性,知性文青,影音（電影、電視劇）,美食,展現貼心與細膩,301-500元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,文靜,乾淨簡約,運動/健身,家居用品,展現貼心與細膩,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,學生,感性,休閒,音樂,藝文活動票卷(電影/展覽/音樂會/演唱會等),展現貼心與細膩,501-1000元,文具/文創商品/藝文活動票卷/書籍
女,19-30歲,教育,嚴肅,休閒,閱讀,3C配件,實用性高,301-500元,文具/文創商品/藝文活動票卷/書籍
